group,subprocess,cross-section,num events,size (GB),num files,db
HH_bbWW,ggHH_kl_1_kt_1_hbbhwwsl,0.00373125,265445,0.786950259,48,/GluGlutoHHto2B2WtoLNu2Q_kl-1p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM
HH_bbWW,ggHH_kl_2p45_kt_1_hbbhwwsl,0.001472597,299199,0.83052975,44,/GluGlutoHHto2B2WtoLNu2Q_kl-2p45_kt-1p00_c2-0p00_LHEweights_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v4/NANOAODSIM
HH_bbWW,ggHH_kl_5_kt_1_hbbhwwsl,0.009928145,266232,0.696257203,39,/GluGlutoHHto2B2WtoLNu2Q_kl-5p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM
HH_bbWW,ggHH_kl_1_kt_1_hhbbWW_dl,0.000901379,266483,0.744126644,32,/GluGlutoHHto2B2Vto2L2Nu_kl-1p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
HH_bbWW,ggHH_kl_2p45_kt_1_hhbbWW_dl,0.000355743,299375,0.892382004,65,/GluGlutoHHto2B2Vto2L2Nu_kl-2p45_kt-1p00_c2-0p00_LHEweights_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v4/NANOAODSIM
HH_bbWW,ggHH_kl_5_kt_1_hhbbWW_dl,0.0023984,265777,0.696939766,35,/GluGlutoHHto2B2Vto2L2Nu_kl-5p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM
HH_bbtautau,ggHH_kl_1_kt_1_hbbhtt,0.00248064,2665667,6.557586976,56,/GluGlutoHHto2B2Tau_kl-1p00_kt-1p00_c2-0p00_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v3/NANOAODSIM
ttbar,ttbar_sl,405.6,152797000,358.683990262,798,/TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
ttbar,ttbar_dl,97.99,48203000,111.491192662,198,/TTto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
tW,tbarWplus_sl,19.307618,9550671,20.741586432,55,/TbarWplustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v6/NANOAODSIM
tW,tbarWplus_dl,4.6651009,4907000,10.497468145,5,/TbarWplusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
tW,tWminus_sl,19.307618,9650268,20.815520677,11,/TWminustoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
tW,tWminus_dl,4.6651009,4985000,10.661953321,6,/TWminusto2L2Nu_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
tbq,TBbarQ,145.0,5786000,10.318317651,92,/TBbarQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM
tbq,TbarBQ,87.2,2878000,5.215596987,61,/TbarBQ_t-channel_4FS_TuneCP5_13p6TeV_powheg-madspin-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM
tb,TBbartoLplusNuBbar,2.405,2596000,4.485714653,49,/TBbartoLplusNuBbar-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM
tb,TbarBtoLminusNuB,1.505,1600000,2.797352546,41,/TbarBtoLminusNuB-s-channel-4FS_TuneCP5_13p6TeV_amcatnlo-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v15-v2/NANOAODSIM
WJets,Wjets_0J,55570.0,400648969,412.51794535,1360,/WtoLNu-2Jets_0J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v3/NANOAODSIM
WJets,Wjets_1J,9420.0,308622412,390.22427722,1151,/WtoLNu-2Jets_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
WJets,Wjets_2J,3616.0,193796359,299.346918181,848,/WtoLNu-2Jets_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
DY,DY_dl_mll_10to50,19982.5,200200891,183.507424321,658,/DYto2L-2Jets_MLL-10to50_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14_ext1-v3/NANOAODSIM
DY,DY_dl_mll_50_0J,5016.0,195345826,243.456265761,632,/DYto2L-2Jets_MLL-50_0J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v3/NANOAODSIM
DY,DY_dl_mll_50_1J,1120.0,192409561,291.992894165,812,/DYto2L-2Jets_MLL-50_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v3/NANOAODSIM
DY,DY_dl_mll_50_2J,359.7,154506477,281.498622332,679,/DYto2L-2Jets_MLL-50_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v3/NANOAODSIM
VV,WW,80.18,33339000,43.925794762,25,/WW_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
VV,WZ,29.1,16770000,22.231785638,14,/WZ_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
VV,ZZ,12.75,2517000,3.321696679,3,/ZZ_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v1/NANOAODSIM
QCD,QCD_pT_15to30,1301000000.0,2366880,1.197474778,9,/QCD_PT-15to30_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-EpsilonPU_130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_30to50,113300000.0,2397088,1.611999582,11,/QCD_PT-30to50_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-EpsilonPU_130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_50to80,16760000.0,11988000,11.287136756,47,/QCD_PT-50to80_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_80to120,2534000.0,17979000,20.169579506,67,/QCD_PT-80to120_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_120to170,445800.0,17964000,25.129801504,71,/QCD_PT-120to170_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
