llr_name,mu_value,llr_type,n_variables
bjets_mbb_x_bjets_pt_bb_x_trijet_pt_llr,231.875,from_multivar,3
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,232.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,234.625,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,236.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,237.9688,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_pt_llr,239.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_llr,239.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,239.25,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,239.875,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_llr,240.0,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_trijet_pt_llr,240.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_trijet_mInv_x_trijet_pt_llr,240.625,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,241.25,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,241.625,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_trijet_pt_llr,241.9375,from_multivar,4
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,242.625,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,242.625,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,242.75,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,242.9688,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,243.25,from_multivar,9
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_llr,243.25,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,243.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,243.8125,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_trijet_pt_llr,243.8125,from_multivar,4
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,244.0,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_llr,244.0,from_multivar,4
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_trijet_pt_llr,244.25,from_multivar,4
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,244.625,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_llr,244.625,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,244.8125,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,244.875,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_trijet_mInv_x_trijet_pt_llr,244.875,from_multivar,4
