,obs_name,mu,sigma1_min,sigma1_max,sigma2_min,sigma2_max,obs_type,n_variables
0,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,110.9,75.77,163.5,54.35,229.3,llr_factorized,8
1,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,111.2,75.22,164.0,53.23,231.4,llr_factorized,9
2,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,112.6,78.47,163.4,57.63,225.6,llr_factorized,7
3,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_llr,112.9,77.73,165.2,56.25,231.3,llr_factorized,6
4,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,112.9,76.32,167.3,54.01,236.7,llr_factorized,10
5,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_WW_pt_x_bjets_mbb_llr,113.9,78.65,166.1,57.16,231.5,llr_factorized,8
6,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,114.2,79.74,164.8,58.69,228.3,llr_factorized,8
7,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,114.5,79.64,166.1,58.37,230.8,llr_factorized,9
8,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,114.6,80.0,165.8,58.88,229.3,llr_factorized,8
9,jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,114.6,78.33,169.0,56.19,237.7,llr_factorized,8
10,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,114.8,79.85,166.5,58.53,232.9,llr_factorized,7
11,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.6,168.1,57.85,234.3,llr_factorized,9
12,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.6,169.0,57.85,236.3,llr_factorized,11
13,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,115.2,79.6,169.0,57.85,236.3,llr_factorized,9
14,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.74,168.1,58.08,234.3,llr_factorized,9
15,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,115.2,80.16,167.2,58.75,233.7,llr_factorized,8
16,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,115.6,80.14,167.7,58.49,233.1,llr_factorized,9
17,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.6,80.98,166.8,59.84,231.0,llr_factorized,9
18,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.6,80.14,168.6,58.49,236.5,llr_factorized,12
19,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.8,79.1,170.7,56.74,239.4,llr_factorized,10
20,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.8,79.71,169.8,57.68,237.5,llr_factorized,8
21,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,115.9,79.77,169.0,57.73,235.7,llr_factorized,10
22,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.0,80.66,168.2,59.12,233.8,llr_factorized,8
23,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.2,80.57,168.6,58.81,235.8,llr_factorized,9
24,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.2,81.14,167.7,59.71,232.3,llr_factorized,8
25,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.2,80.57,169.5,58.81,234.9,llr_factorized,9
26,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.5,80.75,169.9,58.93,236.9,llr_factorized,10
27,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.5,81.53,168.0,59.84,232.8,llr_factorized,6
28,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.83,170.1,59.0,237.1,llr_factorized,11
29,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.6,81.11,169.2,59.45,235.1,llr_factorized,8
30,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.6,81.06,169.2,59.0,235.1,llr_factorized,9
31,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.83,170.1,59.0,235.7,llr_factorized,9
