,bjet0_pt,ak4_jet0_pt,all_mInv,ak4_jet2_bscore,ak4_jet1_bscore,min_b_l_dPhi,lep0_pt,ak4_jet1_pt,min_b_lnu_dPhi,WW_pt,bjet_bijet_dPhi,ak4_jet2_pt,all_mT,trijet_pt_rat,ak4_jet0_bscore,min_b_l_dR,ak4_jet3_pt,all_pt,jj_l_dPhi,trijet_bijet_dR,blnu_lnu_mT,jj_lnu_dEta,jj_lnu_dR,trijet_pt,jj_l_dR,ak4_jet3_bscore,jj_l_dEta,WW_mT,blnu_bl_mInv,trijet_mInv,lep0_iso,nAK4_nonbtag,nAK4_btag,bjet_bijet_dEta,bjet1_pt,ak4_jet0_eta,ak4_jet3_phi,ak4_jet1_eta,lep0_phi,ak4_jet2_eta,ak4_jet3_eta,nAK4,met_phi,ak4_jet1_phi,ak4_jet2_phi,lep0_eta,trijet_bijet_dPhi,mjj,bb_lnu_dEta,WW_mInv,all_jets_HT,bjets_mean_pt,met_pt,blnu_mT,bjets_dPhi,bjets_dR,all_sT,trijet_bijet_dEta,jj_lnu_dPhi,bb_lnu_dPhi,bjets_dEta,bjet_bijet_dR,bb_lnu_dR,bjets_pt_bb,bjets_mbb,blnu_pt
bjet0_pt,1.0,0.4782420327585959,0.36065427031220826,-0.13304632797817645,0.096657909878212,-0.023428957193987632,0.09561645153947737,0.5346888990376178,-0.03200661954063238,0.34869161748537214,-5.159925185032468e-05,0.41932334827080064,0.3609692980825157,0.11366832661426857,0.3603192751551144,-0.19942850507496912,0.2816621436072642,0.05065401860810728,0.00018606905813113087,0.08807622272139216,0.12582045536204353,0.0005227197892173287,-0.0668766815668336,0.4142596752783239,-0.010905903536240432,-0.21885729889661173,0.0005741091268884345,0.18229880980722565,0.17515144179386982,0.23929456560426046,0.0038537445962012534,0.030742251612356872,0.03051084385141546,0.00031387922304210674,0.1551148471170293,2.6484554445884396e-05,0.00010645862523695097,9.634188192838718e-06,-9.818029155077895e-06,-0.0006927244679516803,-0.0007231838045290126,0.05609811137784865,-6.147775610889759e-05,3.526497355482975e-05,0.0006532624045683193,0.00010553192634371685,-9.53984625218477e-05,0.10237174945649186,0.0004308709014368729,0.1446444311598419,0.49559002444564787,0.7432025665458063,0.10336119416269202,0.41964616336241156,0.00018430768545006447,0.10296179233563445,0.45798681641926386,0.0005757509562214372,-0.00022435174454962553,0.00047888763846967134,-0.00017528744387676463,-0.037842527940895127,-0.06968945068988278,0.5027572050241342,0.5201258308092953,0.42547725288305327
ak4_jet0_pt,0.4782420327585959,1.0,0.7367079475824483,0.01887889629036638,0.029598517518926552,0.042846538997826505,0.2732592385034455,0.7502972010845459,0.050856637552264695,0.6225042604599789,-2.7929890611844557e-05,0.5681196563878611,0.7371038300185125,0.1558569373577073,-0.1383489331507439,-0.23364501040244498,0.43042700018651453,0.0811944596397148,0.00011285834620774087,-0.13904789342989354,0.4178235624767355,1.1866391417622479e-05,0.03650159510784059,0.8310713535359159,0.06609244254898665,0.018591746147896795,5.761943563946295e-05,0.6723237013047894,0.19294181558822587,0.5274051229038845,0.004766527315067437,0.1862587130454116,0.0013439851756010817,-0.0003043034165956458,0.4668447506994297,-1.7854180322037523e-05,-0.00013021676259449195,-0.0002249292200833483,0.0004307819517083947,-0.00023139951784453326,0.00010624462726206196,0.21520216892448016,-0.00030080573277606304,0.00014168694880172344,0.00029418767468372535,0.00010640027461508951,9.367071774781088e-05,0.41739157723910736,0.00042435823616244567,0.617960617780675,0.8828824303082802,0.6213666642930474,0.36575877219401,0.614037980937878,-2.278973086411789e-05,0.004831023588269689,0.8824532598047468,-6.291685846122006e-05,6.569187140140114e-05,0.0005796343370693453,0.0006775500081795795,0.03404783426809088,-0.21742292284198497,0.5730562511682519,0.3740338185591769,0.6890646995647552
all_mInv,0.36065427031220826,0.7367079475824483,1.0,0.01692950266354997,-0.029038527348753618,0.03790051503017328,0.3149335076557032,0.6915111947944327,0.04559389879313023,0.5551881844254398,-0.000344585125637235,0.6595461647797034,0.9998411103907728,0.20550121772846372,-0.17670697967571108,-0.13199582974222382,0.6016297201904972,0.08821681357857336,0.00042563253928065275,-0.12874800346217158,0.5029248736179845,-8.413907111815304e-05,0.17349172641651986,0.7447337017959976,0.19878001207364535,0.03264244282801646,5.8113164503585e-06,0.83391301450257,0.2982997757519599,0.7129817386393035,0.00024003544975803812,0.40409285614215595,0.009488083093176168,-0.00015885978417796187,0.3706635982437201,0.00010773026563565968,-3.7318433349597627e-06,-7.217818276568801e-05,0.0005070811467661434,-0.00023622912166718454,4.548911213535112e-05,0.47135167306374615,-0.0004634644619928684,-4.774765818635105e-05,0.00015884985611212083,0.00015436231727026446,-0.0002853779657135701,0.5606424551961477,0.00014450428052341683,0.7984881876974927,0.8366416864884386,0.4811881528538792,0.3977236574310718,0.6709976639550933,2.349555769289346e-05,0.10199476772265137,0.8604579417030247,-1.444632800652053e-05,0.00014783691024208417,0.0005793265188867259,0.0004719348537960631,0.13357908208624134,-0.11590048337424458,0.4414221337891487,0.42782157876513166,0.6153221809262189
ak4_jet2_bscore,-0.13304632797817645,0.01887889629036638,0.01692950266354997,1.0,-0.20501044464437979,0.018903434561360077,0.013173757321559275,0.01514972013784408,0.029885149482607332,-0.0181011085019604,-0.00042019692659194533,0.055700072628668065,0.016767379239186846,-0.04994222871684679,-0.20216276468701744,-0.022869678910462116,0.017329088624647136,-0.01076992391473923,0.00022670238455621588,-0.08751448898050476,0.02336739710621939,-0.0008586042740162869,0.044465058494986894,0.0273154913025621,0.025250804154219295,-0.15556467513604857,-0.0006880259801845548,0.07463978929644309,-0.03777245634025497,0.051159270057969365,-0.0009767994410706652,-0.16173708352721552,0.23015037518186246,-0.0007488687018733622,0.02336351980000976,0.0004750408530826965,-5.780137061971089e-06,0.0004902536576484416,2.1636276903029563e-05,0.0016475329363095136,0.0005355557630016834,-0.029710339348731032,-0.0002213021290729104,3.0446019612857337e-06,-0.00035049764255137665,0.00028186257498323487,-0.00010229795871464805,0.05656455833532556,-0.0004063376560295953,0.07944385750092153,0.018297468760878274,-0.06908010227886824,0.0249200235457852,-0.01677742621940042,7.282978417566284e-05,-0.026360111754795832,0.02417278977098147,-0.00039068655787428486,0.00014115392882368613,-0.00013572162521815342,0.0005230652203017141,0.0014095494857667631,-0.05355678057434822,-0.048399856003132256,-0.04538261406038274,0.01828772061492606
ak4_jet1_bscore,0.096657909878212,0.029598517518926552,-0.029038527348753618,-0.20501044464437979,1.0,-0.005159055034916477,-0.021357398448958734,0.03728094627613769,-0.0013014923474162568,-0.06490481474567182,-0.00024728185267199504,-0.018232950629521703,-0.029271221030949823,0.018210710190178895,-0.19631873839026281,-0.09108038124266635,-0.046885706180653255,-0.01712812725801256,0.0001386568776795017,0.017770377577074434,-0.03479813074395687,-0.00015383280142912002,0.033253833065904695,0.022919706352882697,0.014728315217278048,-0.1818060067707687,-0.00010079925740544114,-0.036693881662026084,-0.008829648381315905,-0.012211129792041756,0.00045741425942991235,-0.2032165582444208,0.24347805572978712,-0.0002119667221626989,0.08531108291851744,0.0002880424972663282,0.0004255243824877063,0.0015445952079658652,2.0412636540891784e-05,-0.00023151744874690757,0.00016883795809687196,-0.06837714087698474,0.00022253371130542793,-0.0004221370080377204,0.00017508520295998623,0.0006229062647862528,-0.00022950368869098544,-0.035144054109419794,-0.00015518967293860853,-0.028928503098256828,5.231224368086439e-05,0.11946024474087052,-0.025311171136251233,0.020875238714976107,0.00017753814594281348,0.043801958909925456,-0.010657218488176386,-0.0001236128075008344,-0.00011998586033056288,-9.736387124932313e-06,0.0002333996207079828,-0.012854444023790277,-0.03183750355724178,-0.037590160761048014,0.12395348332148239,0.05252794989989463
min_b_l_dPhi,-0.023428957193987632,0.042846538997826505,0.03790051503017328,0.018903434561360077,-0.005159055034916477,1.0,-0.014412896599411173,0.030464784129291638,0.44011286196703586,0.06323408023790335,-0.24010630038227526,0.029818320481284702,0.03833160059064039,-0.09999947112654446,-0.0685306566869,-0.09430762055453255,0.0304451727794452,0.0247122267573853,0.2521887745460004,-0.03329226768554806,-0.004404076237952631,-0.00036579417258743844,-0.014122677002880026,-0.003337486057880312,0.044112757683254226,0.03383518794409699,-0.0005089901542535132,0.05535473021043284,-0.046287275598521804,0.05278075940454822,0.0015473489715107597,0.03243107414897566,-0.002298685074404221,-0.00039046356558909175,-0.03810818418041873,-0.00040338126845011134,0.00016894642402610243,-2.9063740330839015e-05,-5.499487040430828e-05,-0.00025677211528539993,7.572076161523717e-05,0.035749919521978,-0.0005357689532911098,0.00022251755666841453,5.794089857201378e-07,-0.00036547609787228856,-0.16666272230189685,0.03813227214925511,0.00016715781556533488,0.05101170307162204,0.04539074369370442,-0.04076045585321028,0.0055469939615595655,-0.000774397609198776,-0.008289153194714936,-0.16950725658624155,0.03625455664589111,-0.0005449842708272407,0.21104497320594587,-0.2555013501027562,-1.2963165511826942e-05,0.12489177758401206,-0.12965506236063642,0.10037862299465303,-0.07906488700366314,0.008472447270032294
lep0_pt,0.09561645153947737,0.2732592385034455,0.3149335076557032,0.013173757321559275,-0.021357398448958734,-0.014412896599411173,1.0,0.15758041483165555,-0.012050123593021062,0.16577918983107245,0.00029780436968875133,0.13656685645367664,0.31533383249005803,0.2005791145960903,-0.08714789744407125,-0.04557251100172535,0.10643061764768344,0.05255865929103071,0.0003903726371825071,-0.07567305816558499,0.6046490079817465,0.00019428446477500573,0.11387247575487988,0.3730042413754295,0.1654867580197412,0.023445711234543472,0.0002723972393812784,0.4106329223460041,0.3117510179369465,0.13244603078839853,-0.025063851961419657,0.0706217365282066,-0.0360452517928082,-0.0004493025413110155,0.1105687898699824,0.0006272424188050782,-5.96222142452491e-05,0.0002937693651815393,-0.000149263525437837,-0.00013507952106921913,0.00019472480357577053,0.05676014683951346,-0.00019123327790686412,-0.000104430882189818,-0.00046391751122420543,0.0007353104687414497,0.00019463588630957827,0.09706199204142969,0.00037447742109351494,0.4060787355129102,0.22288107973550753,0.13590176914974303,0.03707542873927454,0.44673670189647685,-0.0002151731336159072,-0.021515654967664898,0.39801108110274946,2.3887990759970915e-05,-3.0077018120102122e-05,0.00048710210382537256,0.0006738742794680304,-0.10833764583325745,0.02446083489591205,0.1600252881233877,0.06498447561099627,0.4354594853525403
ak4_jet1_pt,0.5346888990376178,0.7502972010845459,0.6915111947944327,0.01514972013784408,0.03728094627613769,0.030464784129291638,0.15758041483165555,1.0,0.04006258988179376,0.5676158667455554,7.175317520385749e-05,0.7164146892557686,0.6914513042630379,0.15074674051868128,-0.09681982036297888,-0.2518225678244423,0.5211662310375492,0.05074403171973317,0.00017968663541203557,-0.18428939691426666,0.23528528965882645,-7.20345737244848e-05,0.025577111780644944,0.7305249449759181,0.04631575887143754,0.008956926451482768,-1.5509899074170676e-05,0.549571994524204,0.21336121237377426,0.47038059143614125,0.005741048703612174,0.19196608266907458,0.029341491102129816,-0.00017102628615410165,0.49201813723225735,-0.00047256666024240117,0.00013199586123833085,-6.781134704405943e-05,0.00013150027899663192,-0.0004045755167420406,-0.00013868463173499792,0.2407902731157071,-0.0002565700041114908,0.00031640229176654644,0.0004548573817864956,-0.0001574474775604422,-0.00015889477753067307,0.3861823869013292,0.000373886414250673,0.4997584164491735,0.8757627932860875,0.6744371926529406,0.20534412817586342,0.5589235062613834,0.000210587168817408,0.042963963524907604,0.8127052522028024,-0.00040993238887353586,-2.6368289645323065e-05,0.0006074247545477063,0.0002720182214105933,-0.016358733404979627,-0.22151693325522956,0.5157986038428718,0.44693154144556957,0.6046006929012087
min_b_lnu_dPhi,-0.03200661954063238,0.050856637552264695,0.04559389879313023,0.029885149482607332,-0.0013014923474162568,0.44011286196703586,-0.012050123593021062,0.04006258988179376,1.0,0.04454033388902858,-0.3474194727890269,0.04026158701085294,0.04617485681391965,-0.08192127535299297,-0.09567117602782454,-0.017257416399204237,0.040248225580515655,0.034755965255569406,0.2122892012126976,-0.07261627584534926,-0.004814173147495066,-0.00036402491420513207,0.029809591691723213,0.01623619790001289,-0.011902216427325144,0.045940964154100566,-0.0004290339742893743,0.0688453528154681,-0.028045440720206,0.058633443838880424,0.0018463533535890717,0.03833469789950103,0.0003287953271102105,-0.0006249352029104216,-0.042089126646878694,-0.00037623868055349375,0.0006187758292065798,0.00034547764286317265,-0.0006993088272942195,0.0002552219732863875,-0.00015179473079968755,0.04432712807096267,-0.0005915830996323119,-3.6673037313693035e-05,0.00025868393141350476,-0.00015016668451519718,-0.2692257362697914,0.04399246017788687,-5.404186185603838e-05,0.06823577286014447,0.056488049872820606,-0.04893042975814657,0.003313986582719178,-0.00283165079491033,-0.010066306957154766,-0.16275282012081968,0.045411837331034544,-0.0010180965620261923,0.3231647737468534,-0.4160412026008626,0.0006032475704415281,0.11839352757738282,-0.21016884978046754,0.08585186693512882,-0.08211459148347768,0.04140103817702036
WW_pt,0.34869161748537214,0.6225042604599789,0.5551881844254398,-0.0181011085019604,-0.06490481474567182,0.06323408023790335,0.16577918983107245,0.5676158667455554,0.04454033388902858,1.0,-0.00026234393975054746,0.4798490280036652,0.5577528742249218,-0.0332507921339019,-0.059612723981132106,0.03392525999741908,0.4156095766935241,0.18185150423025437,0.0003436490061943298,-0.013516125851724237,0.24940288171218308,0.00016137453676088998,-0.34033070797831255,0.4641808906903105,-0.17495648853733048,0.01643515731222875,0.0003602738234789404,0.4133987931041667,0.2816973125076257,0.37844566368226495,0.002890057998071244,0.25531510235472066,-0.00760660236013769,0.0003239826539023571,0.34618160549204424,3.3936200868393304e-05,2.3637048586871618e-05,-0.0002230233001705755,0.00043518086585706705,-0.0005981270101466273,-0.00015980498015806663,0.2885698207590672,7.041528881977446e-05,0.0001150861365527526,0.0004481433052272823,0.00016009946800230073,-0.00015256945033976748,0.23482988727807907,0.00011572178518449136,0.30073006824465515,0.654376825473942,0.45697343233515203,0.21341784880804535,0.4293826129589988,0.0001349877995558867,-0.23741859291850673,0.6320947115092034,0.0002081446656693332,0.00039625713460728616,0.0002232062888392895,0.00029360377914739816,0.17652250566527342,-0.03790590250034702,0.7048141155062665,0.17146139473809657,0.29891683360174043
