,bjet0_pt,ak4_jet0_pt,all_mInv,ak4_jet2_bscore,ak4_jet1_bscore,min_b_l_dPhi,lep0_pt,ak4_jet1_pt,min_b_lnu_dPhi,WW_pt,bjet_bijet_dPhi,ak4_jet2_pt,all_mT,trijet_pt_rat,ak4_jet0_bscore,min_b_l_dR,ak4_jet3_pt,all_pt,jj_l_dPhi,trijet_bijet_dR,blnu_lnu_mT,jj_lnu_dEta,jj_lnu_dR,trijet_pt,jj_l_dR,ak4_jet3_bscore,jj_l_dEta,WW_mT,blnu_bl_mInv,trijet_mInv,lep0_iso,nAK4_nonbtag,nAK4_btag,bjet_bijet_dEta,bjet1_pt,ak4_jet0_eta,ak4_jet3_phi,ak4_jet1_eta,lep0_phi,ak4_jet2_eta,ak4_jet3_eta,nAK4,met_phi,ak4_jet1_phi,ak4_jet2_phi,lep0_eta,trijet_bijet_dPhi,mjj,bb_lnu_dEta,WW_mInv,all_jets_HT,bjets_mean_pt,met_pt,blnu_mT,bjets_dPhi,bjets_dR,all_sT,trijet_bijet_dEta,jj_lnu_dPhi,bb_lnu_dPhi,bjets_dEta,bjet_bijet_dR,bb_lnu_dR,bjets_pt_bb,bjets_mbb,blnu_pt
bjet0_pt,0.0,0.11836244912926719,0.055279592342725226,0.045853900577726786,0.22111954238657303,0.011969525577953876,0.021329158538586857,0.162090472036083,0.011544517902153013,0.13262133635769618,0.007611819809454567,0.21394331478669215,0.0560359868058935,0.12130801104407585,0.00861577496625654,0.15930405710898637,0.16713687237762803,0.035687179432479864,0.0024802481277338526,0.12013467109933422,0.05296203658548612,0.004394872660805781,0.1436490903823939,0.07631380100580404,0.1456721801462777,0.04995720882887039,0.002154070969101878,0.04753743982364514,0.0064280449236364945,0.006322436047713459,0.0011830929585236348,0.03041624953488544,0.1467585063404281,0.005960989307594638,0.34857329334965736,0.00042500120669399676,0.00712265599283918,0.01614691181371359,0.012613206179223598,0.01028711256947811,0.02079496488273476,0.07146215293997439,0.004943843581144729,0.023573169305077794,0.012566181418293234,0.0076131134025315406,0.014705254943653089,0.07554587345650991,0.0012684414116004299,0.10523853521023568,0.032701883281491984,0.03307395164842586,0.08101491116131418,0.07293791552543194,0.026343559074228386,0.08277260903461722,0.0036070552270746625,0.008316562796995093,0.005254441824601437,0.003516021039678399,0.0020635488379946295,0.1384563480380896,0.14662895250226593,0.07747651307416803,0.13166190779673026,0.10949225637736232
ak4_jet0_pt,0.11836244912926719,0.0,0.09968758948505707,0.040542057762552694,0.09889913180942142,0.006222129205209079,0.08761224173394155,0.14531528489898482,0.019397739770587952,0.00782123024910264,0.015224950940478297,0.1619770416286423,0.09965561471683204,0.1084330391106254,0.13239305890526193,0.17555005459786155,0.1517178112708329,0.015636565871210803,0.0021240769785831845,0.2062454428641206,0.0697237267593036,0.013382329754556492,0.13703902673745022,0.13776376500736442,0.11187151150298838,0.0005565267384194002,0.008849118092835303,0.1709506574118027,0.0286910969132618,0.02345639635337793,0.013609863893610439,0.061277681169571774,0.04653967162741642,0.01882980705013891,0.11422697936241316,0.00495326554529191,0.0015832746621059707,0.005852614927764174,0.0012951670432154094,0.0012398817791620968,0.024014663922700068,0.09796896977149455,0.008777249700424419,0.009541674195272281,0.012471148535648822,0.005996592971515931,0.01024575415613546,0.1433182443505635,0.0003503874157918076,0.24011807528482454,0.058150062685622395,0.1381754609481156,0.039237468888979554,0.10512755771599569,0.018573077010937127,0.08851879857583293,0.060440661879544666,0.008703252828291047,0.002847326755874021,0.0036420757485220827,0.004347633963955884,0.08340206737069562,0.1381914359289927,0.11121535289106821,0.05634467638200402,0.11410310521478373
all_mInv,0.055279592342725226,0.09968758948505707,0.0,0.0021927563503720583,0.023724646646372895,0.0104070783348841,0.062414761614335235,0.07281543495966614,0.008768631405336298,0.09416032857680384,0.02586486904133361,0.09401299122983164,4.802595384245656e-05,0.039039025465683636,0.002411645439545973,0.1685132020172421,0.1139842390626431,0.012715964177035771,0.014545607427561068,0.06194046874746609,0.008855931441814846,0.04422550230985237,0.0457728986296633,0.06865200428528906,0.06176199130968138,0.03043674626023129,0.04173460657397542,0.004936747542440889,0.019989517885858177,0.03825193137862293,0.007028449484827757,0.07303646910438816,0.020427931678959965,0.03472184036117838,0.08388247114568398,0.01133018027705672,0.0031970964869082203,0.005094911351137479,0.003755093715784517,0.001967309280352137,0.0008291139440982948,0.07677112560185223,0.004239913039803143,0.017545602760400656,0.017444831399960687,0.018521079611590767,0.023844834414490736,0.001460215550667443,0.009682777403677803,0.04069396507583456,0.06636549567295635,0.016134779879129646,0.018057201562846736,0.0462506867604795,0.001183158040700824,0.11646675923022914,0.03788390015025789,0.020872804367492594,0.03113855960930316,0.0020453035976297543,0.002983499969887278,0.014499610464279333,0.05226880301459556,0.019632981079402756,0.07978641451862928,0.05335392747396217
ak4_jet2_bscore,0.045853900577726786,0.040542057762552694,0.0021927563503720583,0.0,0.04077639299548569,0.00643717739836217,0.018694200233012236,0.03073701663723933,0.015573249256867785,0.02976819946929491,0.01433315030670256,0.04188372309439092,0.0021870027074270965,0.060183495671170074,0.018044384744524744,0.10199917238050289,0.030214303174315758,0.00627874280840001,0.017418098204952794,0.008388463742950242,0.03992427749236786,0.010437714195792331,0.04196038389413167,0.06591437783009998,0.021522483127909116,0.00654770042480507,0.0063346907621294885,0.017528982443321343,0.05327225336366723,0.008415645480087282,0.0023801598734828353,0.027273895941388265,0.059435584010356785,0.018525483130267823,0.08608062398496885,0.011476086973977985,0.025433917603319523,0.002979164367292734,0.010565390362058943,0.009978519462863742,0.020465874150556278,0.02335549906260919,0.002971430521479167,0.018959528051315528,0.014458903749346387,0.02707313511860348,0.007880215163273906,0.004642169866891872,0.020771229207908432,0.02618596584945511,0.007983736171673785,0.0042587386963959944,0.043092390854843704,0.008118444700527968,0.003851405987914442,0.1166509302427908,0.009919064346372637,0.015956509725313896,0.010024706556918507,0.00154355353707441,0.003472653625159935,0.02037510174435071,0.02635155897325307,0.03712672260455262,0.07326755490313869,0.05577947268108696
ak4_jet1_bscore,0.22111954238657303,0.09889913180942142,0.023724646646372895,0.04077639299548569,0.0,0.025225585752717855,0.06495788719461405,0.005392797350990228,0.006290817886329368,0.06952446709917039,0.01373091141189972,0.027554531831606083,0.024082982438684425,0.07191528848958381,0.11654815045049638,0.16858930548137468,0.044492681048032195,0.015878273083233054,0.006790186128817035,0.0061518529177920465,0.10900456880149656,0.013679040848222341,0.017568819045832455,0.0490143024780898,0.04131971607833355,0.07045420929079446,0.017310278682786197,0.09261291909187591,0.04325123950443052,0.023140234136478758,0.005337845112076515,0.006726189789202558,0.012413677140982543,0.004741700965149599,0.013150891292987979,0.0006876787486196209,0.0010752406809796493,0.01791075302272536,0.012824540453488081,0.02223873163679766,0.005008873710770506,0.026882753067107565,0.013521747734346758,0.012961679755118815,0.0026643257597143556,0.02256465872366603,0.011922598926696889,0.042836059277404484,0.011946872399729608,0.08660554328151236,0.03343034973318691,0.15446401828685447,0.08590380720994366,0.011778287421776525,0.02415786470837842,0.19205320329905895,0.013522672684463792,0.004007375092044185,0.0014144997235681679,0.005108887701682802,0.01156980291516848,0.03249022036373729,0.0066398102675513555,0.03200057265745859,0.18547074352609824,0.07669143860878044
min_b_l_dPhi,0.011969525577953876,0.006222129205209079,0.0104070783348841,0.00643717739836217,0.025225585752717855,0.0,0.025878952772615434,0.020946459183457267,0.02907218084579749,0.045713063647378,0.08505323765954675,0.01650308881776401,0.009904969611876042,0.05922463668920164,0.011123161728421663,0.03524159903045078,0.029528918785036825,0.014631117930607122,0.04409263477437225,0.010656340904562425,0.0075916646304216365,0.008965400303949706,0.0430040431730586,0.02932149949617566,0.023618686879892527,0.018429962569384062,0.015934639698170768,0.006019941629438086,0.010999073325656403,0.0012081436042229304,0.014619917939465385,0.011291096541981321,0.006917604578028699,0.006159735008833099,0.04741215338930305,0.0036559727058864976,0.010160193737345504,0.011193358514634415,0.0014328055226586359,0.01944649744008963,0.004672821503931114,0.017134791257942105,0.007170395130434625,0.02181592856063301,0.01713311909382761,0.008420036547951957,0.009985825698174522,0.00636108610391431,0.004723095658866924,0.009479063405571246,0.010911098689494969,0.03770865547217709,0.0331424123549837,0.010641631252799422,0.08545119924900103,0.10820367838632718,0.01210924577475836,0.014387333793459946,0.027402911247904893,0.03289994004095054,0.02330053305106678,0.07243275684914624,0.01534371100110013,0.06197661822628636,0.05229421403346114,0.030320350211142585
lep0_pt,0.021329158538586857,0.08761224173394155,0.062414761614335235,0.018694200233012236,0.06495788719461405,0.025878952772615434,0.0,0.10652591217453412,0.02615793118636416,0.005357587980301282,0.015692635325583404,0.125712668835237,0.06231232312110779,0.081918585236112,0.09692613675253667,0.15295711426524833,0.12494975608496195,0.009664654600497875,0.020853840792090874,0.15200521026385536,0.03461381569288269,0.003211889321082049,0.011699545185811136,0.1037147145727601,0.039467927432625866,0.03654239512563505,0.007527953305814913,0.07261532172100593,0.07882251383369787,0.0008082631642862825,0.022040234908409555,0.08703180238736759,0.06436813687676596,0.022418793970180935,0.016842625438493797,0.00617029783684096,0.006354420687355997,0.0010674869083363674,0.01123328583059079,0.002893627109834466,0.008916220319353569,0.05485419434526662,0.004283367089277116,0.013667884615084185,0.0015026915465552776,0.006921940951020915,0.0003995529101134008,0.03932137691580255,0.023599577309469873,0.09229685727384285,0.11686943636730099,0.005574205075050048,0.04272104575011835,0.06660447082510612,0.009233374735803237,0.07683225937920324,0.06808681923924831,0.017164915521122225,0.000670383700926403,0.0058282126141507755,0.00968552700436733,0.04966898618009598,0.07570208105990013,0.015053571629612017,0.07061520555952648,0.1373512560495439
ak4_jet1_pt,0.162090472036083,0.14531528489898482,0.07281543495966614,0.03073701663723933,0.005392797350990228,0.020946459183457267,0.10652591217453412,0.0,0.024732252996573903,0.04021172587181976,0.021445038285606732,0.05407885517411515,0.07325820974801744,0.16166068675423115,0.0571607233273312,0.24208361560754266,0.08111321458836296,0.01998014347839239,0.01120083236186397,0.014752743089132658,0.07033539222035531,0.003713936704762309,0.06507051252530285,0.19471965285257264,0.08038537603572563,0.024383640241457002,0.008595311739022898,0.0496196525532141,0.09284200811358556,0.006428756210759612,0.0018587831926944842,0.023329921004429155,0.0438926392205724,0.0012429324341944937,0.13319057052465805,0.011983863917690699,0.0017075008911467155,0.011083701799211745,0.00755580697102718,0.012678214223406823,0.008895731263318917,0.04673296517161987,0.005161996096549722,0.02160368466401677,0.010035606157162064,0.005124018901954504,0.017670042168049422,0.007380395814559182,0.00359340130900744,0.0945028308951516,0.04320910197734351,0.10061092324581988,0.016182437510308817,0.07904950488654383,0.0007165014832857642,0.1888416307516218,0.06124787489559369,0.006533839215835092,0.01394117419246175,0.0024738245859453646,0.013883750387985457,0.07790852744061937,0.05509480663064595,0.008420245960201855,0.18915939932348547,0.17878713327097556
min_b_lnu_dPhi,0.011544517902153013,0.019397739770587952,0.008768631405336298,0.015573249256867785,0.006290817886329368,0.02907218084579749,0.02615793118636416,0.024732252996573903,0.0,0.07906806893221599,0.11328467781144308,0.016966741126387623,0.008654068680895667,0.05923021331939559,0.0013700608509217838,0.04314580695934981,0.03858338760985928,0.011814025592161992,0.06432283072263642,0.03399231393548585,0.03479654770232811,0.004163451822113685,0.05677765289594239,0.02661786707667993,0.043769158629734045,0.013577315293738061,0.01194544686068391,0.009044395839274223,0.029525699966992048,0.009175902190893967,0.01920479732528692,0.014012645882876783,0.020068918402778226,0.005076815717013315,0.010048693417259412,0.0052615226902432985,0.0004808357638158075,0.013619214763739347,0.014326483873474696,0.002458131712882721,1.230735690078207e-06,0.004149045878110692,0.0001478356117264498,0.01867112998018965,0.014824820276541667,0.005285360465240941,0.0545485443879864,0.011625208757985804,0.011555202558615271,0.005524864505427704,0.011217609814947738,0.008565776538096058,0.021297449738409045,0.025435234785074885,0.07291431134793222,0.11759227855303969,0.005359634217767036,0.020256421872382205,0.04216330798536028,0.05710737523205012,0.006910680900204592,0.0887252786733809,0.03511701023869082,0.0859351049064296,0.037272408783590165,0.0307634972873857
WW_pt,0.13262133635769618,0.00782123024910264,0.09416032857680384,0.02976819946929491,0.06952446709917039,0.045713063647378,0.005357587980301282,0.04021172587181976,0.07906806893221599,0.0,0.01848820384137928,0.07504095718449272,0.09569616795693248,0.16348222679665927,0.20259464252700296,0.2250035464512185,0.1102443273766745,0.1077399103896905,0.02072166752784517,0.1778154495313533,0.05200929303027799,0.017411785265069254,0.12060093255421916,0.19281332286173314,0.15901112945478357,0.04525012958689758,0.019538785446214582,0.13101984310227166,0.10921771238495265,0.06479675187496353,0.009984982445013143,0.20378314621004762,0.11183872317160652,0.022093318744342772,0.043867223246481346,0.006954404144167686,0.0039598060142000575,0.0009006464484031725,0.028545665807560246,0.002241624002393587,0.01533973655770468,0.1452985065096005,0.011617876179761209,0.003247730384835115,0.0030931763193328176,0.004597737966070256,0.007651870055834641,0.15879650654173966,0.0074352766437017805,0.22189570458361602,0.026761264513674665,0.23155241018962142,0.07648672951321686,0.07266733933999125,0.006084071867970936,0.15676036618034342,0.01138987958969584,0.013165278881694664,0.0014892622192876164,0.008922564536182205,0.0050311226618597995,0.08950160492640005,0.1588378097514091,0.09742356370973959,0.04255472860511489,0.06185383317659862
