,bjet0_pt,ak4_jet0_pt,all_mInv,ak4_jet2_bscore,ak4_jet1_bscore,min_b_l_dPhi,lep0_pt,ak4_jet1_pt,min_b_lnu_dPhi,WW_pt,bjet_bijet_dPhi,ak4_jet2_pt,all_mT,trijet_pt_rat,ak4_jet0_bscore,min_b_l_dR,ak4_jet3_pt,all_pt,jj_l_dPhi,trijet_bijet_dR,blnu_lnu_mT,jj_lnu_dEta,jj_lnu_dR,trijet_pt,jj_l_dR,ak4_jet3_bscore,jj_l_dEta,WW_mT,blnu_bl_mInv,trijet_mInv,lep0_iso,nAK4_nonbtag,nAK4_btag,bjet_bijet_dEta,bjet1_pt,ak4_jet0_eta,ak4_jet3_phi,ak4_jet1_eta,lep0_phi,ak4_jet2_eta,ak4_jet3_eta,nAK4,met_phi,ak4_jet1_phi,ak4_jet2_phi,lep0_eta,trijet_bijet_dPhi,mjj,bb_lnu_dEta,WW_mInv,all_jets_HT,bjets_mean_pt,met_pt,blnu_mT,bjets_dPhi,bjets_dR,all_sT,trijet_bijet_dEta,jj_lnu_dPhi,bb_lnu_dPhi,bjets_dEta,bjet_bijet_dR,bb_lnu_dR,bjets_pt_bb,bjets_mbb,blnu_pt
bjet0_pt,1.0,0.5966044818878631,0.30537467796948303,-0.17890022855590323,-0.12446163250836102,-0.011459431616033756,0.07428729300089051,0.37259842700153484,-0.020462101638479366,0.4813129538430683,-0.007663419061304892,0.2053800334841085,0.3049333112766222,-0.0076396844298072825,0.36893505012137096,-0.040124447965982746,0.11452527122963617,0.014966839175627416,-0.0022941790696027215,0.20821089382072638,0.17878249194752965,-0.0038721528715884527,-0.2105257719492275,0.3379458742725199,-0.15657808368251813,-0.16890009006774134,0.0027281800959903122,0.13476136998358051,0.18157948671750632,0.24561700165197392,0.005036837554724888,0.06115850114724231,-0.11624766248901267,-0.005647110084552531,-0.19345844623262806,-0.00039851665224811236,-0.007016197367602229,-0.01613727762552075,-0.012623024208378675,0.00959438810152643,0.020071781078205748,-0.015364041562125749,-0.005005321337253627,-0.023537904331522964,-0.011912919013724915,0.007718645328875257,-0.014800653406174936,0.02682587599998194,-0.0008375705101635571,0.03940589594960623,0.4628881411641559,0.7101286148973804,0.1843761053240062,0.3467082478369796,0.02652786675967845,0.020189183301017224,0.4543797611921892,-0.007740811840773656,0.005030090080051812,-0.0030371334012087273,0.0018882613941178649,0.10061382009719447,0.07693950181238317,0.5802337180983023,0.38846392301256505,0.31598499650569095
ak4_jet0_pt,0.5966044818878631,1.0,0.6370203580973912,-0.021663161472186315,-0.06930061429049486,0.03662440979261743,0.18564699676950397,0.6049819161855611,0.031458897781676744,0.6303254907090815,0.015197021049866453,0.4061426147592188,0.6374482153016805,0.0474238982470819,-0.005955874245481977,-0.058094955804583445,0.27870918891568164,0.065557893768504,0.0022369353247909253,0.06719754943422708,0.3480998357174319,-0.013370463363138869,-0.10053743162960962,0.6933075885285515,-0.045779068954001724,0.018035219409477395,-0.00879149865719584,0.5013730438929866,0.22163291250148767,0.5039487265505066,0.018376391208677876,0.12498103187583984,-0.04519568645181534,-0.019134110466734557,0.35261777133701655,0.004935411364969873,-0.0017134914247004627,-0.006077544147847523,-0.0008643850915070148,0.0010084822613175635,0.02412090854996213,0.1172331991529856,-0.009078055433200482,-0.009399987246470558,-0.012176960860965097,0.006102993246131021,0.010339424873883271,0.27407333288854385,0.0007747456519542532,0.3778425424958505,0.8247323676226578,0.759542125241163,0.32652130330503043,0.5089104232218823,0.01855028728007301,-0.08368777498756325,0.8220125979252021,-0.008766169686752267,-0.00278163488447262,-0.0030624414114527373,-0.0036700839557763047,0.1174499016387865,-0.07923148691299227,0.6842716040593201,0.31768914217717287,0.5749615943499715
all_mInv,0.30537467796948303,0.6370203580973912,1.0,0.014736746313177913,-0.005313880702380722,0.04830759336505738,0.252518746041368,0.6186957598347665,0.03682526738779393,0.461027855848636,0.025520283915696374,0.5655331735498718,0.9997930844369304,0.16646219226278008,-0.1742953342361651,0.03651737227501828,0.4876454811278541,0.07550084940153759,-0.014119974888280415,-0.06680753471470549,0.4940689421761697,-0.04430964138097052,0.21926462504618316,0.6760816975107086,0.2605420033833267,0.06307918908824775,-0.04172879525752506,0.8289762669601292,0.31828929363781805,0.7512336700179264,0.0072684849345857954,0.3310563870377678,-0.010939848585783797,-0.034880700145356346,0.2867811270980361,-0.01122245001142106,0.0031933646435732604,0.005022733168371791,-0.0032480125690183734,0.0017310801586849524,0.0008746030562336459,0.3945805474618939,-0.004703377501796012,0.017497855102214306,-0.017285981543848566,-0.018366717294320503,0.023559456448777164,0.5621026707468152,-0.009538273123154386,0.7577942226216582,0.7702761908154823,0.4650533729747496,0.41578085899391853,0.6247469771946138,-0.0011596624830079304,-0.014471991507577778,0.8225740415527668,-0.020887250695499113,-0.030990722699061075,0.0026246301165164803,-0.0025115651160912147,0.14807869255052067,-0.06363168035964901,0.42178915270974593,0.3480351642465024,0.5619682534522568
ak4_jet2_bscore,-0.17890022855590323,-0.021663161472186315,0.014736746313177913,1.0,-0.1642340516488941,0.012466257162997907,-0.005520442911452962,0.04588673677508341,0.014311900225739548,0.01166709096733451,0.013912953380110615,0.09758379572305899,0.01458037653175975,-0.11012572438801686,-0.1841183799424927,0.07912949347004078,0.04754339179896289,-0.00449118110633922,0.01764480058950901,-0.095902952723455,-0.016556880386148474,0.009579109921776043,0.002504674600855228,-0.03859888652753788,0.0037283210263101807,-0.16211237556085364,0.005646664781944933,0.05711080685312175,0.015499797023412257,0.04274362457788208,0.0014033604324121699,-0.1890109794686038,0.28958595919221924,0.017776614428394462,0.1094441437849786,-0.011001046120895289,0.025428137466257553,-0.002488910709644292,0.010587026638961973,-0.008330986526554228,-0.019930318387554595,-0.00635484028612184,-0.0031927326505520773,0.018962572653276815,-0.014809401391897764,-0.026791272543620244,0.007777917204559257,0.05192238846843369,-0.021177566863938027,0.053257891651466424,0.02628120493255206,-0.07333884097526423,-0.018172367309058503,-0.024895870919928387,-0.0037785762037387794,-0.14301104199758663,0.014253725424608833,0.015565823167439612,0.010165860485742194,0.0014078319118562565,0.003995718845461649,0.021784651230117472,-0.02720522160109515,-0.01127313339857964,-0.11865016896352143,-0.037491752066160906
ak4_jet1_bscore,-0.12446163250836102,-0.06930061429049486,-0.005313880702380722,-0.1642340516488941,1.0,0.020066530717801376,0.043600488745655315,0.031888148925147464,-0.007592310233745625,0.0046196523534985665,-0.013978193264571715,0.00932158120208438,-0.005188238592265399,-0.05370457829940492,-0.3128668888407592,0.07750892423870835,-0.0023930251326210613,-0.0012498541747795037,-0.006651529251137533,0.02392223049486648,0.07420643805753968,0.01352520804679322,0.05082265211173715,-0.0260945961252071,0.056048031295611596,-0.11135179747997423,0.017209479425380755,0.055919037429849834,0.03442159112311462,0.010929104344437002,-0.0048804308526466025,-0.19649036845521825,0.25589173287076966,-0.0049536676873122975,0.09846197421150542,0.0009757212458859491,-0.0006497162984919429,-0.016366157814759495,-0.012804127816947189,0.022007214188050753,-0.004840035752673635,-0.04149438780987717,-0.01329921402304133,0.012539542747081094,0.002839410962674342,0.023187564988452283,-0.012152102615387874,0.00769200516798469,0.011791682726790998,0.057677040183255535,-0.033378037489506046,-0.03500377354598394,0.060592636073692425,0.03265352613675263,0.024335402854321234,-0.1482512443891335,0.0028654541962874064,-0.00413098789954502,-0.0015344855838987307,-0.005118624088807734,0.011803202535876462,0.019635776339947016,-0.02519769328969042,-0.0055895881035894195,-0.06151726020461586,-0.024163488708885822
min_b_l_dPhi,-0.011459431616033756,0.03662440979261743,0.04830759336505738,0.012466257162997907,0.020066530717801376,1.0,-0.04029184937202661,0.051411243312748905,0.41104068112123837,0.017521016590525348,-0.1550530627227285,0.04632140929904871,0.048236570202516434,-0.040774834437342825,-0.05740749495847834,-0.12954921958498333,0.059974091564482024,0.010081108826778179,0.29628140932037267,-0.022635926780985638,0.0031875883924690055,0.008599606131362268,0.028881366170178575,0.025984013438295348,0.06773144456314675,0.015405225374712927,0.015425649543917256,0.06137467183987093,-0.05728634892417821,0.05398890300877115,0.016167266910976145,0.02113997760699434,-0.00921628965243292,0.005769271443244007,0.009303969208884315,0.003252591437436386,-0.009991247313319402,0.011164294774303576,-0.0014878003930629442,-0.019703269555375033,-0.004597100742315876,0.018615128264035895,0.006634626177143515,0.022038446117301425,0.017133698502813332,0.008054560450079669,-0.15667689660372233,0.04449335825316942,-0.004555937843301589,0.060490766477193286,0.05630184238319939,-0.0030518003810331897,0.038689406316543266,0.009867233643600646,0.0771620460542861,-0.061303578199914374,0.04836380242064947,0.013842349522632705,0.23844788445385076,-0.28840129014370675,0.023287569885554953,0.052459020734865816,-0.1143113513595363,0.038402004768366665,-0.026770672970202,0.03879279748117488
lep0_pt,0.07428729300089051,0.18564699676950397,0.252518746041368,-0.005520442911452962,0.043600488745655315,-0.04029184937202661,1.0,0.05105450265712143,-0.03820805477938522,0.16042160185077117,-0.015394830955894652,0.010854187618439643,0.25302150936895024,0.1186605293599783,0.009778239308465416,0.10738460326352296,-0.018519138437278516,0.06222331389152858,0.021244213429273382,0.07633215209827036,0.5700351922888638,-0.003017604856307043,0.10217293056906875,0.2692895268026694,0.12601883058711533,-0.013096683891091573,-0.0072555560664336344,0.3380176006249982,0.39057353177064436,0.13163776762411225,-0.04710408686982921,-0.016410065859160997,0.028322885083957753,-0.02286809651149195,0.09372616443148861,-0.005543055418035882,0.006294798473110748,0.0013612562735179066,-0.011382549356028627,0.0027585475887652467,0.009110945122929339,0.0019059524942468375,-0.00447460036718398,0.013563453732894366,0.0010387740353310722,0.007657251419762365,0.000594188796422979,0.05774061512562714,0.02397405473056339,0.31378187823906734,0.10601164336820654,0.13032756407469298,-0.0056456170108438114,0.38013223107137073,-0.009448547869419144,-0.09834791434686814,0.32992426186350116,-0.017141027530362254,-0.000700460719046505,-0.005341110510325403,0.01035940128383536,-0.05866865965316147,0.10016291595581218,0.17507885975299972,-0.005630729948530218,0.2981082293029964
ak4_jet1_pt,0.37259842700153484,0.6049819161855611,0.6186957598347665,0.04588673677508341,0.031888148925147464,0.051411243312748905,0.05105450265712143,1.0,0.06479484287836766,0.5274041408737357,0.02151679146081059,0.6623358340816534,0.6181930945150205,-0.010913946235549856,-0.15398054369031008,-0.009738952216899624,0.44005301644918626,0.03076388824134078,-0.011021145726451935,-0.19904214000339931,0.16494989743847113,0.003641902131037824,-0.03949340074465792,0.5358052921233455,-0.03406961716428808,0.03334056669293977,0.008579801839948727,0.4999523419709899,0.3062032204873598,0.46395183522538164,0.00388226551091769,0.16863616166464543,-0.014551148118442582,0.001071906148040392,0.3588275667075993,-0.0124564305779331,0.0018394967523850463,-0.011151513146255804,-0.007424306692030548,-0.013082789740148863,-0.009034415895053915,0.19405730794408724,-0.0054185661006612125,0.021920086955783315,-0.009580748775375568,-0.005281466379514947,0.01751114739051875,0.37880199108677004,-0.0032195148947567667,0.4052555855540219,0.832553691308744,0.5738262694071207,0.1891616906655546,0.4798740013748396,0.0009270886521031722,-0.1458776672267142,0.7514573773072087,-0.006943771604708627,-0.013967542482107074,-0.0018663998313976583,-0.013611732166574863,0.06154979403563974,-0.1664221266245836,0.5073783578826699,0.2577721421220841,0.4258135596302331
min_b_lnu_dPhi,-0.020462101638479366,0.031458897781676744,0.03682526738779393,0.014311900225739548,-0.007592310233745625,0.41104068112123837,-0.03820805477938522,0.06479484287836766,1.0,-0.034527735043187416,-0.23413479497758383,0.05722832813724056,0.03752078813302398,-0.02269106203359738,-0.09430111517690276,-0.060403223358554047,0.07883161319037493,0.0465699908477314,0.276612031935334,-0.10660858978083511,-0.03961072084982318,0.003799426907908553,0.0865872445876656,0.04285406497669282,0.031866942202408904,0.05951827944783863,0.011516412886394536,0.05980095697619387,-0.05757114068719805,0.04945754164798646,0.021051150678875995,0.05234734378237781,-0.019740123075668015,0.004451880514102893,-0.03204043322961928,0.004885284009689805,0.0001379400653907723,0.01396469240660252,-0.015025792700768916,-0.0022029097395963333,-0.00015302546648976575,0.04847617394907336,-0.0007394187113587617,0.018634456942875955,0.015083504207955171,0.005135193780725743,-0.214677191881805,0.05561766893587267,-0.01160924442047131,0.07376063736557217,0.06770565968776834,-0.04036465322005051,-0.01798346315568987,-0.028266885579985215,0.06284800439077745,-0.04516054156777998,0.04005220311326751,0.019238325310356012,0.36532808173221365,-0.4731485778329127,-0.0063074333297630635,0.02966824890400192,-0.24528586001915836,-8.323797130077782e-05,-0.04484218269988751,0.07216453546440606
WW_pt,0.4813129538430683,0.6303254907090815,0.461027855848636,0.01166709096733451,0.0046196523534985665,0.017521016590525348,0.16042160185077117,0.5274041408737357,-0.034527735043187416,1.0,0.018225859901628734,0.40480807081917247,0.46205670626798934,-0.19673301893056117,0.14298191854587086,0.2589288064486376,0.3053652493168496,0.07411159384056387,-0.02037801852165084,0.16429932367962907,0.30141217474246107,-0.017250410728308362,-0.4609316405325317,0.27136756782857735,-0.33396761799211405,-0.02881497227466883,-0.019178511622735643,0.28237895000189506,0.39091502489257834,0.3136489118073014,-0.007094924446941898,0.051531956144673055,0.10423212081146883,-0.021769336090440416,0.3900488287385256,0.006988340345036079,-0.003936168965613186,0.000677623148232597,0.028980846673417313,-0.0028397510125402143,0.015179931577546614,0.14327131424946668,0.011688291468580983,-0.0031326442482823625,-0.002645033014105535,0.0047578374340725565,0.007499300605494873,0.07603338073633943,0.007550998428886272,0.07883436366103912,0.6276155609602674,0.6885258425247734,0.2899045783212622,0.5020499522989901,0.006219059667526823,-0.39417895909885015,0.6434845910988992,-0.012957134216025332,-0.0010930050846803302,0.009145770825021495,-0.004737518882712401,0.26602411059167347,0.12093190725106209,0.8022376792160061,0.12890666613298168,0.2370630004251418
