,blnu_mT,all_sT,WW_mInv,bjets_mbb,blnu_pt,WW_mT,blnu_lnu_mT,blnu_bl_mInv,jj_lnu_dR,jj_l_dR,bb_lnu_dR,bjets_dR,bjets_mean_pt,min_b_l_dR,bjet_bijet_dR,ak4_jet1_phi,lep0_iso,nAK4_btag,lep0_eta,all_pt,nAK4,met_phi,bjet1_pt,bjet_bijet_dEta,ak4_jet2_eta,ak4_jet3_phi,ak4_jet3_eta,ak4_jet0_eta,ak4_jet1_eta,ak4_jet2_phi,ak4_jet2_pt,nAK4_nonbtag,jj_lnu_dPhi,jj_l_dPhi,bjet0_pt,bjets_pt_bb,ak4_jet3_bscore,bjets_dPhi,bjets_dEta,trijet_pt_rat,min_b_lnu_dPhi,trijet_pt,min_b_l_dPhi,bjet_bijet_dPhi,trijet_bijet_dPhi,jj_lnu_dEta,met_pt,lep0_phi,bb_lnu_dPhi,ak4_jet0_bscore,trijet_bijet_dR,trijet_bijet_dEta,ak4_jet3_pt,trijet_mInv,mjj,WW_pt,ak4_jet2_bscore,ak4_jet1_pt,jj_l_dEta,ak4_jet0_pt,bb_lnu_dEta,lep0_pt,all_jets_HT,all_mInv,all_mT,ak4_jet1_bscore
blnu_mT,1.0,0.7316792123319623,0.6037012573470935,0.44144769391513183,0.7309039538295082,0.6332353105369899,0.7523094581308251,0.5760838741841602,0.08813682016804325,0.1141077437282628,-0.02012763974876386,0.10410971591398925,0.5558624861554783,-0.05702187031584616,-0.09401975248156796,0.00022871684482555268,-0.008473682600602201,-0.028406031029255378,-0.00015603916122656204,0.10339911471662262,0.13365526053935084,0.000499332584907316,0.4257442872269112,0.00037801794950700126,-0.0009037308401116728,-6.754912213719745e-05,-9.297154463015204e-05,0.00012964646034330959,0.00013891272350948105,-0.0002590950692485232,0.45385164093123903,0.1329613309328326,0.00033838575308817783,0.00028947933031514545,0.41931286433133236,0.46087464739635275,-0.031520213678492705,-0.00022537769900750324,-0.00022740830429261957,0.29835120315815716,-0.0027464764150700927,0.6431312102877387,-0.0008556342213218692,-0.00031143614644009595,-0.00034998156885931195,0.00016667172070227573,0.5733409125045444,0.000359615098588555,-0.00011860282335913817,-0.037934475823011696,-0.16346677512733218,0.00040073717797883536,0.3377969671086468,0.3044712053447027,0.2245533672305514,0.4288228405282042,-0.016343801296851486,0.5592654261848609,0.0001716779071823298,0.613992850445928,-2.2783456924257144e-05,0.44667144847904383,0.5967194963132618,0.6707467029339871,0.6712369083234945,0.021109887126300905
all_sT,0.7316792123319623,1.0,0.7149365568109052,0.3788429336968014,0.774817919672389,0.7649249855566101,0.5924688246043639,0.23591512924955357,0.06928110814429025,0.08751456856794972,-0.19882697586189851,0.006407964639351959,0.6018372204961453,-0.23131078481082717,-0.03395960725123591,0.0005157166198893696,0.0014923603870330526,0.020743807260970196,0.00027939778466968613,0.09465128725349603,0.43530605258607424,-0.0002493349861814453,0.45720895062736666,0.0005088513259295491,-0.0008452235528868203,0.00015013958987823096,-0.00013173084195241687,-1.9430216849691156e-05,8.019040462166961e-05,-0.000310693936883262,0.7432261977788038,0.36613614238567427,0.0006656874279136449,0.0005846033924375525,0.4579704309809085,0.5322367895410894,0.034818386117987925,-0.00040972316563831965,-0.00042455998481190984,0.2553288174942862,0.04562639367674383,0.8924505091064348,0.0362560776037209,-0.0006345133966352226,-0.0002942089817802241,0.00026635773189139634,0.5035817084024842,-5.3073593239801065e-05,-0.0001247434151059607,-0.171962090006382,-0.21217356364800605,0.00041060097121789203,0.6447921741435364,0.5362410831958694,0.42160979468682896,0.631662222986518,0.02490677195403995,0.8129668714175448,0.00042784738718204264,0.8824535540808099,4.2004439851645056e-05,0.39776786385777263,0.9518866552677369,0.8607024395225967,0.8610817684156318,-0.010670605553704336
WW_mInv,0.6037012573470935,0.7149365568109052,1.0,0.10435675163908012,0.6231976768328905,0.9915214257645981,0.6530512837230089,0.17019138167468756,0.36860397487626456,0.3397942809907565,-0.1909294696282669,-0.015127830088293458,0.17607061712176597,-0.12264166838909682,0.0737748333852067,7.822492247658137e-05,-0.0058972448364929065,-0.03580267247178187,0.0001689212229633901,0.08134559450977898,0.20437711252416396,-0.00024507814177681314,0.12355666556604249,0.00025242855482749934,-0.000652721605914041,0.00013233558742947152,0.00019634607800910072,1.8335640681702376e-05,-0.0006699263856203997,-0.00044831268926591705,0.4660855905158356,0.19880611389617772,0.0002817228812119489,0.0003732081591446468,0.14480591586290156,0.23140931879370719,0.11920625191746693,-0.00015494740060366318,-0.00029312486048021466,0.15434341650045122,0.06847737117335066,0.6561534644687823,0.05063696874416633,-0.00019368485039996972,-0.00016225586063018453,7.636230300762263e-05,0.5036018913153943,5.08060609658571e-05,-7.45882440020566e-05,-0.3010483003298015,-0.25132385978563604,0.00010129114716647649,0.3899181344168974,0.6842635492182966,0.7122801656006492,0.3004386204406276,0.07981476647831104,0.4993874918856996,0.00018756562440626313,0.6185141542081977,0.00036305832898110796,0.4058678317041774,0.6076010309374256,0.7983599166571091,0.7983359966307597,-0.028558251537581278
bjets_mbb,0.44144769391513183,0.3788429336968014,0.10435675163908012,1.0,0.38685419838992513,0.12295362034474776,0.09446969721934527,0.25828658108688357,0.02520811491178684,0.06003103294233242,0.055556820107579376,0.6200112694863277,0.7238145309044696,-0.21233175943094376,-0.06316742953741142,0.00016860584302271712,0.0014393131749073273,0.062094046166020496,-0.00044375042529135804,0.03683184342489373,0.04227889811299186,-0.00044254845309358784,0.5782037036376593,-0.00023150825971632094,-0.0004989610028768546,-0.00028189660703693354,-0.0005401700094973321,0.00026792777456847484,0.000428724700261816,-1.7554655786574483e-05,0.3915927231842646,6.825817601403817e-05,0.00033088208228159696,0.00016919689864391014,0.5207321600137177,0.2302591001246285,-0.14953098106842774,-0.0002054668024171497,-0.000527364884260632,0.18355481593090264,-0.08205999912327096,0.38549777196573465,-0.0784827335458343,-0.00029290091146522086,-0.0003021586520786598,-0.000704785244707911,0.07572467835857775,-0.0004241979822623272,-0.00017307744515879928,0.20511743662437282,0.15576213449492782,0.0001922303252857251,0.2895731714898501,0.2535332502349091,0.05452740391100644,0.17192201307994723,-0.04524192080170199,0.4474924429204261,-0.0005370304415899114,0.3740215522404207,-0.00036758341275408904,0.06522151249926601,0.4161646792322891,0.427714525801442,0.4275162766347485,0.12329036309656596
blnu_pt,0.7309039538295082,0.774817919672389,0.6231976768328905,0.38685419838992513,1.0,0.6338692974773668,0.644167542566229,0.09840190269509502,0.244891719821903,0.21701723583169547,-0.2643079157995196,0.1319192694487131,0.5458578735095508,-0.32926889223181005,-0.18996301223156478,0.0003363345622758979,-0.005619784271392431,0.005693293079538011,0.000789994154907451,0.06755885783558863,0.14437222570903632,-0.00021377517070266615,0.4053921064621814,0.0003065014828685131,-0.000918816224376391,0.0004043752163710289,0.00022226317901159965,0.00047970805943352876,0.00029955121450460175,-0.0003384212459853033,0.49843668047216094,0.12213251010312008,0.0007586865286395518,0.0006874874377577688,0.4252291469124785,0.35757167276205853,0.006659302738208017,-0.0006508376069281023,-0.00010188363194759556,0.43832842334622346,0.04176131395440131,0.8199880151699508,0.008618914392959092,-0.0004490711411329457,-0.00018536649138268952,0.0002461150985755432,0.5508339274130403,0.00036240387643550964,-0.000158471115439603,-0.09831101729527982,-0.2632144923864456,0.0005490465940704053,0.3660125267372976,0.32204779120039534,0.2500687514478141,0.29815090242094466,0.01868368838196941,0.6049917594747548,0.00046000350706283243,0.6891541962277647,0.00036011119799939274,0.43518123456557384,0.6581109940484159,0.6152870487334094,0.6155397611702323,0.05266884893294956
WW_mT,0.6332353105369899,0.7649249855566101,0.9915214257645981,0.12295362034474776,0.6338692974773668,1.0,0.6572952444170743,0.20086729213715895,0.30439236666768565,0.29799539222589183,-0.18310998745108722,-0.041247847228201594,0.22873192051197846,-0.1118962604054131,0.09238827709754567,0.00014300589603195065,-0.005259892532931757,-0.035670201070832845,0.00015642406563079537,0.10172337998945519,0.2315585137050763,-0.0002195529160520804,0.1659007740736028,0.00032044388983065757,-0.0006541450727002351,7.350210526058633e-05,0.0001561094243359137,3.346723783930998e-05,-0.0006382989187193245,-0.0004522831875405165,0.5052925545543008,0.22235535022441366,0.0003057602018516924,0.0003478411022005021,0.1823982798543487,0.31110965506199617,0.11629172923847665,-0.00012745347592323173,-0.0002557165099910134,0.14338019404988528,0.06905883982888618,0.6866696673994341,0.055030919802619684,-0.0002532837849610152,-0.00021755541287851634,9.022864796211471e-05,0.5099122978344809,0.00011971512080472724,-8.650153527350433e-05,-0.29618284770390646,-0.23999056143309233,0.00015161542277898,0.42458128694367225,0.7015215694422955,0.7092966074475839,0.4130887760270141,0.07508244992321264,0.5493252896169917,0.00020690352268203327,0.6727657343151835,0.0003178826946459136,0.4103918554594434,0.6646202076092687,0.8337730407339929,0.8341217068795386,-0.036368761444106196
blnu_lnu_mT,0.7523094581308251,0.5924688246043639,0.6530512837230089,0.09446969721934527,0.644167542566229,0.6572952444170743,1.0,0.22186843026097097,0.16563360871080685,0.1658656945378611,0.020110461158172884,-0.02446933285472813,0.1836156042850313,-0.015236341696245284,-0.11570254071947736,2.768854069008911e-05,-0.014065098069026866,-0.056324923045671334,-2.216167039806363e-05,0.1134652896829476,0.08483706783273336,0.000719052099443568,0.15335752341085046,0.0003033540976567213,-0.0008803777022547215,-0.00014073047773309415,0.00011307826031226142,5.99387757675818e-05,2.490887244989346e-05,-0.00016793514562579725,0.20258177395108676,0.1070194110747266,0.0001882236284015556,0.0004088308962226492,0.12501067430390111,0.2257578027501376,0.039520245786607545,-0.00029278740006477897,-0.00041571144102889096,0.26842861350726066,-0.004117531987239857,0.5432319518623816,-0.004809014654853564,-0.000366144010693149,-0.00029216179636795935,0.00014463817885323725,0.7528253803813301,0.000688833177401544,-4.5892951700644866e-05,-0.14392222989048695,-0.10054722424252753,0.0002799773314573724,0.15766550347659436,0.2308146576930621,0.16885124741104976,0.24826284907992607,0.023636475312332286,0.2351186103018108,0.00011990117542263077,0.41731355520820795,0.0002550632176791473,0.6048304662488875,0.33684211733976316,0.5027002298849672,0.5036589948625665,-0.034498780176394864
blnu_bl_mInv,0.5760838741841602,0.23591512924955357,0.17019138167468756,0.25828658108688357,0.09840190269509502,0.20086729213715895,0.22186843026097097,1.0,-0.04846925961019977,-0.07159119126327938,0.21707639219270988,0.03627258183109543,0.2597138201102136,0.4184672587203428,0.04599716387809931,0.00013417628118454202,-0.014110459816048236,-0.05178999470111259,-0.0007041017032432031,0.04352243525991259,0.05308003138373964,0.00017165151326342957,0.21821458138849587,0.0001339112072780749,-0.0006018060804139914,-7.78711817086662e-05,-0.00043311260728923375,-0.0004083418645066604,4.338943216060628e-05,-4.96042369455057e-05,0.16759955797423828,0.0767354732830625,-0.00017352514008569218,-0.0002945001506179629,0.1754421758711206,0.2933639103861034,-0.05104758298149553,0.0002312267251032252,8.810182963228583e-05,0.025476904182942624,-0.028471533553032696,0.12320944838694595,-0.04630240388889024,0.00033123692166317845,-0.00021172825127974655,0.00019310068264897015,-0.004411955514514189,0.0003484837038775052,-0.00019676920667370044,0.02543796903457206,-0.0005341927840693133,1.733894468270159e-05,0.13175422100197579,0.11837581997592977,0.07181303440860351,0.2821492861182659,-0.03790046468755442,0.21375667658659098,6.843261883920125e-05,0.19325223068962696,-0.00029863879833383854,0.31223333816810184,0.2084364098136681,0.29833357799084687,0.2984295555272743,-0.008570462738556644
jj_lnu_dR,0.08813682016804325,0.06928110814429025,0.36860397487626456,0.02520811491178684,0.244891719821903,0.30439236666768565,0.16563360871080685,-0.04846925961019977,1.0,0.6978336464806295,-0.1377427239563208,0.1876211921614586,-0.09195824074011197,-0.09435423347935919,-0.01290151414377258,5.1990978360219007e-05,-0.005583918657387719,-0.01662292298435835,0.0002478329548047832,-0.05831958010443805,-0.03309950382213488,-0.0004053740120538247,-0.07249636998889084,-0.00013483001897006796,-0.0003129021489729158,0.0004993546743226883,0.00012686502733447427,8.203448036280382e-05,-0.00038803107471122614,-8.373688382367241e-05,0.026891135758802538,-0.018951636940101622,-8.296421153728728e-05,0.0001908067017932695,-0.0671784831037648,-0.21822202272985394,0.05598686107423614,1.0864613583051226e-05,-0.00013378075898361894,0.23173790722689652,0.030181083716257898,0.18807195389115003,-0.014063348364024893,-4.326716999757789e-05,0.00028024069603851216,-5.188641894320436e-05,0.10248947372746206,-0.0006497971863318863,0.0003168823754786191,-0.14369098882575754,-0.15145877327932855,7.300758222389157e-06,0.01467276630241278,0.0979288963258598,0.09514041017429194,-0.34045552029177434,0.043806736071088814,0.0256492329563761,9.652893562020751e-05,0.03665639432628602,0.0002285803372868454,0.11347428534984841,0.024599657411568096,0.17336285371130997,0.17174663431400794,0.033936790007360405
jj_l_dR,0.1141077437282628,0.08751456856794972,0.3397942809907565,0.06003103294233242,0.21701723583169547,0.29799539222589183,0.1658656945378611,-0.07159119126327938,0.6978336464806295,1.0,-0.014748710072657708,0.15398828337726314,-0.024946375415453147,-0.18781934064178893,0.02116231356326648,4.13872407278767e-05,-0.00874250301344677,-0.011810210287488899,0.0001388684205328154,-0.015403256044669706,-0.018428279896614524,-0.00033054393965444994,-0.026601667018430693,-4.146615831319781e-05,-0.000508334306529751,0.0007712948989448818,0.00031026202927819744,8.504605124341598e-06,-0.0005327553156106477,-5.553504382188971e-05,0.04172909113068733,-0.009041807192722438,-0.00030349375318098866,-3.83634192439273e-05,-0.010866385093016465,-0.1168786450026477,0.03603827698774611,8.98474529129592e-05,0.0001966407399352889,0.1847499171588348,-0.011595741727353549,0.17576793930248455,0.043717650295366534,-0.00016902763517767552,0.00020819196068826696,-8.433867492297735e-05,0.043066901772444655,-0.0006025624435401055,0.00043567339644442983,-0.08154135624947162,-0.06547131242886929,-6.454599885898587e-05,0.02831495812762368,0.11123644585358393,0.08370505559379823,-0.17519288902938734,0.025258881794280978,0.04611107641789567,0.0001433042146407814,0.06619763530166743,0.00015623527452000524,0.16530761940031852,0.0517673465193232,0.19858695276569258,0.19770021271688934,0.01465289379513019
