var1,var2,delta_corr
bjets_dR,bjets_mean_pt,0.44653971814786064
bjets_pt_bb,bjets_mean_pt,0.30725911766105574
bjets_dR,blnu_mT,0.2973401098403525
bjets_dR,all_sT,0.29468855529928034
bjets_dR,all_jets_HT,0.29301274306369696
bjet_bijet_dR,bjets_mean_pt,0.2656639754849141
bjets_pt_bb,all_sT,0.2069621962910037
bjets_dR,bjets_mbb,0.1936223812733563
bjets_pt_bb,all_jets_HT,0.187784591914749
bjets_pt_bb,bb_lnu_dR,0.18750517492604907
bjets_mbb,bjets_mean_pt,0.17997210322983015
blnu_pt,all_jets_HT,0.16316660152156937
blnu_pt,blnu_mT,0.16149054059681955
bjets_pt_bb,blnu_mT,0.1402687949299089
blnu_pt,all_sT,0.13044847120133374
bjets_pt_bb,bjets_dR,0.12258617926090642
bjets_mbb,bjet_bijet_dR,0.1178337124325761
bjets_mbb,blnu_mT,0.11453201901029098
bb_lnu_dR,bjets_mean_pt,0.10914060043106451
bjets_mean_pt,met_pt,0.10542144947430657
bjets_mean_pt,all_sT,0.10089798723625665
bjets_pt_bb,bjet_bijet_dR,0.09848211418504033
blnu_pt,bjets_mean_pt,0.09804407438632967
bjets_mbb,all_jets_HT,0.09473430222992857
bjets_pt_bb,bjets_mbb,0.09201801151443437
bjets_pt_bb,met_pt,0.08908698915494352
bb_lnu_dR,all_jets_HT,0.08823226372935125
bb_lnu_dR,all_sT,0.08586353334407967
bjet_bijet_dR,blnu_mT,0.07661059598659428
bjets_mbb,blnu_pt,0.07539810790175944
blnu_mT,all_jets_HT,0.0741697241809185
bjets_mbb,all_sT,0.06842542974127458
bjets_mean_pt,all_jets_HT,0.053448615058999005
bjets_dR,blnu_pt,0.0529308997769463
blnu_mT,all_sT,0.04420189125682128
bjet_bijet_dR,blnu_pt,0.03708764456251662
bb_lnu_dR,blnu_pt,0.03531141181326505
bjets_dR,bjet_bijet_dR,0.03297559541731526
blnu_pt,met_pt,0.028928152132514928
met_pt,all_jets_HT,0.02812338006618406
jj_lnu_dPhi,bb_lnu_dPhi,0.026864337778091163
all_sT,all_jets_HT,0.02190984022093423
met_pt,blnu_mT,0.019562047652117
bjets_mean_pt,blnu_mT,0.01894536533022434
met_pt,all_sT,0.014388986780713264
bjets_pt_bb,blnu_pt,0.0015489576018617723
