var1,var2,delta_corr
bjets_dR,bjets_mean_pt,0.44653971814786064
bjets_pt_bb,bjets_mean_pt,0.30725911766105574
bjets_dR,blnu_mT,0.2973401098403525
bjets_dR,all_sT,0.29468855529928034
bjets_dR,all_jets_HT,0.29301274306369696
bjet_bijet_dR,bjets_mean_pt,0.2656639754849141
bjets_pt_bb,all_sT,0.2069621962910037
bjets_dR,bjets_mbb,0.1936223812733563
bjets_pt_bb,all_jets_HT,0.187784591914749
bjets_pt_bb,bb_lnu_dR,0.18750517492604907
bjets_mbb,bjets_mean_pt,0.17997210322983015
blnu_pt,all_jets_HT,0.16316660152156937
blnu_pt,blnu_mT,0.16149054059681955
bjets_pt_bb,blnu_mT,0.1402687949299089
blnu_pt,all_sT,0.13044847120133374
bjets_pt_bb,bjets_dR,0.12258617926090642
bjets_mbb,bjet_bijet_dR,0.1178337124325761
bjets_mbb,blnu_mT,0.11453201901029098
bb_lnu_dR,bjets_mean_pt,0.10914060043106451
bjets_mean_pt,met_pt,0.10542144947430657
