,i,j,MI_S,MI_B,delta
2051,bjets_mean_pt,bjets_pt_bb,0.8584062036922793,0.3250106510528191,0.5333955526394601
1425,WW_mT,WW_mInv,1.1707151480663016,1.5711661815880076,0.40045103352170597
1056,jj_l_dPhi,jj_lnu_dPhi,0.6961748802527923,0.356257802175277,0.33991707807751526
0,bjet0_pt,ak4_jet0_pt,0.6987815436447984,0.4040273213182083,0.2947542223265901
652,bjet_bijet_dPhi,jj_lnu_dPhi,0.4599713779058907,0.185103472397003,0.27486790550888773
612,bjet_bijet_dPhi,jj_l_dPhi,0.3780126132223091,0.11386615553584131,0.26414645768646783
1200,jj_lnu_dR,jj_l_dR,0.6068735370664251,0.3439046927669985,0.26296884429942663
590,WW_pt,bjets_mean_pt,0.3404459963898126,0.08447037084618095,0.2559756255436316
1274,trijet_pt,all_sT,0.3688947036868869,0.6179268060122283,0.24903210232534134
1268,trijet_pt,all_jets_HT,0.25789614629695856,0.48625612457913814,0.22835997828217958
602,WW_pt,bjets_pt_bb,0.5212068401067069,0.2983129324737506,0.2228939076329563
126,ak4_jet0_pt,bjets_pt_bb,0.3748475427060013,0.16122913377678338,0.2136184089292179
1020,jj_l_dPhi,jj_lnu_dR,0.3226596612305075,0.11385961969417506,0.20880004153633241
114,ak4_jet0_pt,bjets_mean_pt,0.5902097287057905,0.39453497384910474,0.19567475485668573
1317,jj_l_dR,jj_lnu_dPhi,0.29471867855047496,0.1036058271473663,0.19111285140310866
2106,all_sT,bjets_pt_bb,0.3147523237042474,0.12572302970982147,0.18902929399442592
1966,trijet_bijet_dPhi,jj_lnu_dPhi,0.4035244637542931,0.21869852746704646,0.1848259362872466
1090,trijet_bijet_dR,trijet_bijet_dPhi,0.7690715003344121,0.5852503016469062,0.1838211986875059
86,ak4_jet0_pt,trijet_pt,0.25432836363462696,0.4374241750621871,0.18309581142756015
2078,blnu_mT,blnu_pt,0.21561664102612993,0.39665805583651237,0.18104141481038244
449,ak4_jet1_pt,trijet_pt,0.1257006215967576,0.30654410143382865,0.18084347983707105
1466,blnu_bl_mInv,blnu_mT,0.3298136687746872,0.15560997740065013,0.17420369137403707
2052,bjets_mean_pt,bjets_mbb,0.20164646385117252,0.37090448778945806,0.16925802393828554
1665,bjet1_pt,bjets_mean_pt,0.22931186738253626,0.3980051704974179,0.16869330311488165
1044,jj_l_dPhi,trijet_bijet_dPhi,0.28272074421189247,0.11437021010000453,0.16835053411188794
70,ak4_jet0_pt,ak4_jet1_pt,0.32608852773238706,0.49380929972500337,0.1677207719926163
2108,all_sT,blnu_pt,0.25877283396563044,0.4209672066016864,0.16219437263605596
2097,bjets_dR,bjets_pt_bb,0.33276977451298534,0.17292902215187717,0.15984075236110817
2037,all_jets_HT,bjets_pt_bb,0.28743952645799004,0.13119653652719904,0.156242989930791
616,bjet_bijet_dPhi,jj_lnu_dR,0.19891031358641137,0.051985271579366533,0.14692504200704484
1225,jj_lnu_dR,WW_mInv,0.26342952584906454,0.11903646490297767,0.14439306094608687
1496,trijet_mInv,mjj,0.34838637580172127,0.48772821169752534,0.13934183589580407
595,WW_pt,all_sT,0.3129054634883409,0.173746991646509,0.13915847184183192
908,min_b_l_dR,bjets_dPhi,0.2250105346982304,0.08977624784927615,0.13523428684895425
671,ak4_jet2_pt,trijet_pt,0.08038228202112156,0.21468155600666902,0.13429927398554747
618,bjet_bijet_dPhi,jj_l_dR,0.16664765763016984,0.03296926764917628,0.13367838998099357
1308,jj_l_dR,WW_mInv,0.2161478499078,0.08306883457936277,0.13307901532843724
2044,bjets_mean_pt,all_sT,0.3557463310340309,0.22389874255011694,0.13184758848391398
2043,bjets_mean_pt,bjets_dR,0.14940420714477903,0.01866992502543669,0.13073428211934235
2015,WW_mInv,all_sT,0.18096276061359082,0.31142613600490376,0.13046337539131295
1159,jj_lnu_dEta,jj_l_dEta,1.0413186219352115,1.1698285384458087,0.12850991651059718
613,bjet_bijet_dPhi,trijet_bijet_dR,0.2063119006805163,0.0796987798658284,0.1266131208146879
